movieId,title,genres,title_cleaned,release_year,genres_str,combined_features,avg_rating,vibe_cluster
1,Toy Story (1995),"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",Toy Story,1995,adventure animation children comedy fantasy,Toy Story adventure animation children comedy fantasy,3.92093023255814,3
2,Jumanji (1995),"['Adventure', 'Children', 'Fantasy']",Jumanji,1995,adventure children fantasy,Jumanji adventure children fantasy,3.4318181818181817,3
3,Grumpier Old Men (1995),"['Comedy', 'Romance']",Grumpier Old Men,1995,comedy romance,Grumpier Old Men comedy romance,3.2596153846153846,2
4,Waiting to Exhale (1995),"['Comedy', 'Drama', 'Romance']",Waiting to Exhale,1995,comedy drama romance,Waiting to Exhale comedy drama romance,2.357142857142857,2
5,Father of the Bride Part II (1995),['Comedy'],Father of the Bride Part II,1995,comedy,Father of the Bride Part II comedy,3.071428571428572,7
6,Heat (1995),"['Action', 'Crime', 'Thriller']",Heat,1995,action crime thriller,Heat action crime thriller,3.946078431372549,0
7,Sabrina (1995),"['Comedy', 'Romance']",Sabrina,1995,comedy romance,Sabrina comedy romance,3.185185185185185,2
8,Tom and Huck (1995),"['Adventure', 'Children']",Tom and Huck,1995,adventure children,Tom and Huck adventure children,2.875,3
9,Sudden Death (1995),['Action'],Sudden Death,1995,action,Sudden Death action,3.125,0
10,GoldenEye (1995),"['Action', 'Adventure', 'Thriller']",GoldenEye,1995,action adventure thriller,GoldenEye action adventure thriller,3.496212121212121,0
11,"American President, The (1995)","['Comedy', 'Drama', 'Romance']","American President, The",1995,comedy drama romance,"American President, The comedy drama romance",3.6714285714285713,2
12,Dracula: Dead and Loving It (1995),"['Comedy', 'Horror']",Dracula: Dead and Loving It,1995,comedy horror,Dracula: Dead and Loving It comedy horror,2.421052631578948,1
13,Balto (1995),"['Adventure', 'Animation', 'Children']",Balto,1995,adventure animation children,Balto adventure animation children,3.125,3
14,Nixon (1995),['Drama'],Nixon,1995,drama,Nixon drama,3.8333333333333335,6
15,Cutthroat Island (1995),"['Action', 'Adventure', 'Romance']",Cutthroat Island,1995,action adventure romance,Cutthroat Island action adventure romance,3.0,0
16,Casino (1995),"['Crime', 'Drama']",Casino,1995,crime drama,Casino crime drama,3.926829268292683,6
17,Sense and Sensibility (1995),"['Drama', 'Romance']",Sense and Sensibility,1995,drama romance,Sense and Sensibility drama romance,3.776119402985074,2
18,Four Rooms (1995),['Comedy'],Four Rooms,1995,comedy,Four Rooms comedy,3.7,7
19,Ace Ventura: When Nature Calls (1995),['Comedy'],Ace Ventura: When Nature Calls,1995,comedy,Ace Ventura: When Nature Calls comedy,2.727272727272727,7
20,Money Train (1995),"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",Money Train,1995,action comedy crime drama thriller,Money Train action comedy crime drama thriller,2.5,0
21,Get Shorty (1995),"['Comedy', 'Crime', 'Thriller']",Get Shorty,1995,comedy crime thriller,Get Shorty comedy crime thriller,3.49438202247191,0
22,Copycat (1995),"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",Copycat,1995,crime drama horror mystery thriller,Copycat crime drama horror mystery thriller,3.2222222222222223,1
23,Assassins (1995),"['Action', 'Crime', 'Thriller']",Assassins,1995,action crime thriller,Assassins action crime thriller,3.125,0
24,Powder (1995),"['Drama', 'Sci-Fi']",Powder,1995,drama sci-fi,Powder drama sci-fi,3.125,4
25,Leaving Las Vegas (1995),"['Drama', 'Romance']",Leaving Las Vegas,1995,drama romance,Leaving Las Vegas drama romance,3.625,2
26,Othello (1995),['Drama'],Othello,1995,drama,Othello drama,3.5,6
27,Now and Then (1995),"['Children', 'Drama']",Now and Then,1995,children drama,Now and Then children drama,3.333333333333333,3
28,Persuasion (1995),"['Drama', 'Romance']",Persuasion,1995,drama romance,Persuasion drama romance,4.227272727272728,2
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)","['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']","City of Lost Children, The (Cité des enfants perdus, La)",1995,adventure drama fantasy mystery sci-fi,"City of Lost Children, The (Cité des enfants perdus, La) adventure drama fantasy mystery sci-fi",4.0131578947368425,4
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),"['Crime', 'Drama']",Shanghai Triad (Yao a yao yao dao waipo qiao),1995,crime drama,Shanghai Triad (Yao a yao yao dao waipo qiao) crime drama,3.0,6
31,Dangerous Minds (1995),['Drama'],Dangerous Minds,1995,drama,Dangerous Minds drama,3.1842105263157894,6
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"['Mystery', 'Sci-Fi', 'Thriller']",Twelve Monkeys (a.k.a. 12 Monkeys),1995,mystery sci-fi thriller,Twelve Monkeys (a.k.a. 12 Monkeys) mystery sci-fi thriller,3.983050847457627,4
34,Babe (1995),"['Children', 'Drama']",Babe,1995,children drama,Babe children drama,3.65234375,3
36,Dead Man Walking (1995),"['Crime', 'Drama']",Dead Man Walking,1995,crime drama,Dead Man Walking crime drama,3.835820895522388,6
38,It Takes Two (1995),"['Children', 'Comedy']",It Takes Two,1995,children comedy,It Takes Two children comedy,2.125,3
39,Clueless (1995),"['Comedy', 'Romance']",Clueless,1995,comedy romance,Clueless comedy romance,3.293269230769231,2
40,"Cry, the Beloved Country (1995)",['Drama'],"Cry, the Beloved Country",1995,drama,"Cry, the Beloved Country drama",4.25,6
41,Richard III (1995),"['Drama', 'War']",Richard III,1995,drama war,Richard III drama war,3.7,5
42,Dead Presidents (1995),"['Action', 'Crime', 'Drama']",Dead Presidents,1995,action crime drama,Dead Presidents action crime drama,3.0,0
43,Restoration (1995),['Drama'],Restoration,1995,drama,Restoration drama,3.1875,6
44,Mortal Kombat (1995),"['Action', 'Adventure', 'Fantasy']",Mortal Kombat,1995,action adventure fantasy,Mortal Kombat action adventure fantasy,2.5434782608695654,0
45,To Die For (1995),"['Comedy', 'Drama', 'Thriller']",To Die For,1995,comedy drama thriller,To Die For comedy drama thriller,3.3125,6
46,How to Make an American Quilt (1995),"['Drama', 'Romance']",How to Make an American Quilt,1995,drama romance,How to Make an American Quilt drama romance,3.066666666666667,2
47,Seven (a.k.a. Se7en) (1995),"['Mystery', 'Thriller']",Seven (a.k.a. Se7en),1995,mystery thriller,Seven (a.k.a. Se7en) mystery thriller,3.975369458128079,6
48,Pocahontas (1995),"['Animation', 'Children', 'Drama', 'Musical', 'Romance']",Pocahontas,1995,animation children drama musical romance,Pocahontas animation children drama musical romance,3.147058823529412,3
